# gosec allowlist
# format: rule_id<TAB>path<TAB>line<TAB>justification
# policy: entries must be explicitly reviewed; new findings fail CI until added with rationale.
G101	internal/agentcore/ws_transport.go	79	Machine-readable token persistence status code; not a credential or secret.
G304	internal/agentcore/sysconfig/network_stats_linux.go	40	Path uses an interface name returned by the local kernel through net.Interfaces plus a fixed sysfs statistics suffix.
G304	internal/agentplatform/linux/provider_metadata.go	381	Key-value reader is called only for the fixed local /etc/os-release metadata path.
G304	internal/agentplatform/linux/provider_metadata.go	410	Trimmed metadata reader is called only with fixed local /proc and /sys paths selected by the agent.
G703	internal/agentcore/managed_file.go	24	Managed configuration path is checked with Lstat, restricted to a regular file, and matched to the opened inode before bounded reading.
G703	internal/agentcore/managed_file.go	32	Managed configuration path is checked with Lstat, restricted to a regular file, and matched to the opened inode before bounded reading.
G706	cmd/labtether-agent/parent_lifetime.go	37	Parent PID is parsed as a bounded unsigned integer and logged with the numeric percent-d formatter.
G204	scripts/release/internal/releasecontract/proof.go	108	Host proof executes only the exact staged release binary selected from a fixed manifest target map, with empty environment, timeout, and bounded output.
G302	scripts/release/internal/releasecontract/archive.go	201	Deterministic release archive is a public distributable and is intentionally created mode 0644 after no-replace path validation.
G304	scripts/release/internal/releasecontract/archive.go	100-104	Source archive extraction writes only validated safe relative paths under a fresh private destination using O_EXCL and bounded file sizes.
G304	scripts/release/internal/releasecontract/archive.go	147	Exported go.mod is a required validated regular file inside the freshly extracted release source tree.
G304	scripts/release/internal/releasecontract/archive.go	191	Archive source is validated as a regular file, matched to the opened inode, bounded by size, and required to match the exact entry name.
G304	scripts/release/internal/releasecontract/archive.go	201	Archive output path is prechecked for nonexistence and created with O_EXCL so no existing file or symlink is followed.
G304	scripts/release/internal/releasecontract/archive.go	270	Release archive input is validated as a regular bounded file before gzip/tar verification.
G304	scripts/release/internal/releasecontract/contract.go	194	Pinned public key path is fixed under the repository release directory and validated as a small regular non-symlink file.
G304	scripts/release/internal/releasecontract/github.go	59	GitHub release JSON is a local inspection input validated as a small regular non-symlink file and decoded with a bounded reader.
G304	scripts/release/internal/releasecontract/github.go	289	Draft inspection receipt is a local control file validated as a small regular non-symlink file before strict JSON decoding.
G304	scripts/release/internal/releasecontract/proof.go	201	Host proof file is validated as a small regular non-symlink file before strict JSON decoding and manifest binding.
G304	scripts/release/internal/releasecontract/stage.go	88	Release asset files are validated as regular non-symlink files with bounded size and before/after SameFile checks while hashing.
G304	scripts/release/internal/releasecontract/stage.go	133	Release control output uses a validated non-symlink parent and O_EXCL no-replace creation.
G304	scripts/release/internal/releasecontract/verify.go	304	Sealed release manifest is validated as a small regular file and compared byte-for-byte against the regenerated manifest.
G304	scripts/release/internal/releasecontract/verify.go	323	Release binary is validated as a bounded regular file with executable magic, architecture, and Go build-info checks.
G304	scripts/release/internal/releasecontract/verify.go	427	Signed metadata path is derived from validated asset names and read only after small regular-file validation.
G304	scripts/release/internal/releasecontract/verify.go	465	Detached signature path is derived from validated asset names and read only after small regular-file validation.
G304	scripts/release/internal/releasecontract/verify.go	520	Checksum path is derived from a validated manifest asset and read only after small regular-file validation.
G304	scripts/release/internal/releasecontract/verify.go	536	Build record path is fixed in the private release-control directory and validated as a small regular file before strict JSON decoding.
G304	scripts/release/internal/releasecontract/verify.go	625	Release manifest path is fixed in the private release-control directory and validated as a small regular file before strict JSON decoding.
